"x" "y" "z"
"  87560.2364110933849588" "542679.53258658095729" "201237.6442032463673968"
"  76921.0072435594629496" "451135.82724639121443" " 90759.2147217186429771"
"  29372.4479935690833372" "494607.06419034797000" "408377.9883890383644029"
" -51997.0466318181352108" "649754.13663489429746" "  5176.1052464468029939"
"  -4266.7729359172162731" "481421.47115203383146" " 16946.3042223167867633"
" 168509.6455860967689659" "500275.75644927821122" " 73035.1298944690934150"
" -13565.9398799909431546" "568673.57963605888654" " 31552.4824620778963435"
"-101794.5646740489319200" "370204.30768847314175" "  7562.0426937877846285"
"   6644.8939652480357836" "653833.59900679881684" "164989.5512217712821439"
"  -7688.1366728582934229" "380495.22794673586031" " 51712.1893205545275123"
